code,name
DJ,Air Asia Japan
2S,Air Carnival
6X,Air Odisha
V1,Air Ventura
T6,Air swift
5J,Cebu Pacific Air
QZ,Indonesia AirAsia
4O,Interjet
GK,Jet Smart
9H,MDLR
LV,Mega Maldives
VQ,Novo Air
I7,Paramount
PQ,Philippines AirAsia
MY,MAXjet Airways
9C,Spring Airlines
FD,Thai AirAsia
XJ,Thai AirAsia X
TT,Tigerair Australia
Y4,Volaris Air
9F,9F
Z7,ADC Airlines
KD,AK Avia OJSC
7P,APA Intl Air SA
2B,ATA Aerocondor
M4,AVIOMPEX
AD,AZUL LINHAS AEREAS BRASILEIRAS
I8,Aboriginal Air Services
9B,AccessRail
KI,Adam Air
JP,Adria Airways
DF,Aebal
RE,Aer Arann Express
E4,Aero Asia Intl
EM,Aero Benin
JR,Aero California
QA,Aero Caribe
P4,Aero Lineas Sosa
HC,Aero Tropics Air Service
DW,Aero-Charter
P5,AeroRepublica
AJ,Aerocontractors
KG,Aerogaviota
AR,Aerolineas Argentinas
5D,Aerolitoral
BQ,Aeromar Airlines
OT,Aeropelican
VH,Aeropostal Alas De Venezuela
5L,Aerosur
VV,Aerosvit Airlines
XU,African Express Airways
ML,African Transport
8U,Afriqiyah Airways
X5,Afrique Airlines
ZI,Aigle Azur
A6,Air Alps Aviation
2Y,Air Andaman
4L,Air Astana
W9,Air Bagan
BP,Air Botswana
TY,Air Caledonie
SB,Air Calin
QK,Air Canada Jazz
TX,Air Caraibes
NV,Air Central
CV,Air Chatham
4F,Air City
A7,Air Comet
DV,Air Company SCAT
QC,Air Corridor
YN,Air Creebec
EN,Air Dolomiti S P A
PE,Air Europe SPA
OF,Air Finland
GL,Air Greenland
NY,Air Iceland
3H,Air Inuit
I9,Air Italy
VU,Air Ivoire
J4,Air Jamaica Express
NQ,Air Japan
JS,Air Koryo
DR,Air Link Pty
L8,Air Luxor GB
C2,Air Luxor STP
QM,Air Malawi
KM,Air Malta
6T,Air Mandalay
CW,Air Marshall Islands
MR,Air Mauritanie
ZV,Air Midwest
9U,Air Moldova
SW,Air Namibia
EI,Aer Lingus PLC
SU,Aeroflot Airlines
AM,Aeromexico
AH,Air Algerie
3S,Air Antilles Express
EE,Regional Jet
AK,AirAsia
I5,AirAsia India
KC,Air Astana
AB,Air Berlin
AC,Air Canada
CA,Air China
LB,Air Costa
UX,Air Europa
LQ,Air Guinea Cargo
IX,AI Express
AI,Air India
NX,Air Macau
MK,Air Mauritius
OP,Air Pegasus
KB,Druk Air
BT,Air Baltic
B3,Bhutan Airlines
NK,Spirit Airlines
FZ,Fly Dubai
2J,Air Burkina
6E,IndiGo
S2,JetLite
VL,Med-View Airline
Z2,AirAsia Zest
RX,Regent
TZ,Scoot Airlines
D7,AirAsia X
2T,TruJet
WW,Wow Airlines
SG,SpiceJet
ZO,Zoom Air
JM,JamboJet
TR,Scoot
EH,Air Nippon Network
4N,Air North
TL,Air North Regional
YW,Air Nostrum
AP,Air One
UT,Air Orient
2P,Air Philippines
GZ,Air Rarotonga
PJ,Air Saint-Pierre
EX,Air Santo Domingo
X7,Air Service
4D,Air Sinai
GM,Air Slovakia
ZP,Air St Thomas
YI,Air Sunshine
TN,Air Tahiti Nui
TC,Air Tanzania
8T,Air Tindi
JY,Air Turks Caicos
6U,Air Ukraine
DO,Air Vallee
NF,Air Vanuatu
6G,Air Wales
ZW,Air Wisconsin
UM,Air Zimbabwe
ED,Airblue
V2,Aircompany Karat
YQ,Aircompany Polet
4C,Aires SA
A5,Airlinair
RT,Airlines Of South Australia
C4,Airlines of Carriacou
CG,Airlines of Papua New Guinea
ND,Airlink
FL,Airtran Airways
6L,Aklak Air
AS,Alaska Airlines
KO,Alaska Central Express
J5,Alaska Seaplane
F4,Albarka Air
D4,Alidaunia
XM,Alitalia Express
G4,Allegiant Air
9I,Alliance Air
CD,Alliance Air (India)
QQ,Alliance Airlines (Australia)
3A,Alliance Airlines (Chicago)
AQ,Aloha Airlines
E8,Alpi Eagles
0A,Amber Air
HP,America West Airlines
AX,American Connection
MQ,American Eagle Air
G6,Angkor Airways
O4,Antrak Air
5F,Arctic Circle Air
FG,Ariana Afghan Airlines
5N,Arkhangelsk Airlines
IZ,Arkia Israeli Airlines
U8,Armavia Airline
MV,Armenian Intl Airways
7S,Artic Transportation Services
R7,Aserca Airlines
6K,Asian Spirit
OI,Aspiring Air
ZA,Astair
5W,Astraeus
RC,Atlantic Airways Faroe Islands
EV,Atlantic Southeast Airlines
TD,Atlantis European Airways
8A,Atlas Blue
IP,Atyrau Airways
IQ,Augsburg Airways
GR,Aurigny Air Services
AU,Austral Lineas Aerea
6A,Aviacsa Consorcio Aviaxsa
O6,Avianca Brazil
WR,Aviaprad
GU,Aviateca
U3,Avies
G2,Avirex Gabon
2Q,Avitrans Nordi
CJ,BA City Flyer
KJ,BMED
