code,name,citycode,city,country,countrycode
BAN,Basongo Airport,BAN,"Basongo, Democratic Republic of the Congo",,CG
KDH,Kandahar International Airport,KDH,"Kandahar, Afghanistan",Afghanistan,AF
MZR,Mazar I Sharif Arpt,MZR,Mazar I Sharif,Afghanistan,AF
KBL,Khwaja Rawash Arpt,KBL,Kabul,Afghanistan,AF
FBD,Faizabad Arpt,FBD,Faizabad,Afghanistan,AF
HEA,Herat Arpt,HEA,Herat,Afghanistan,AF
TIA,Rinas Arpt,TIA,Tirana,Albania,AL
BJA,Bejaia Arpt,BJA,Bejaia,Algeria,DZ
BLJ,Batna Arpt,BLJ,Batna,Algeria,DZ
AAE,Les Salines Arpt,AAE,Annaba,Algeria,DZ
ALG,Houari Boumedienne Arpt,ALG,Algiers,Algeria,DZ
INF,In Guezzam Airport,INF,In Guezzam,Algeria,DZ
ORN,Es Senia,ORN,Oran,Algeria,DZ
TLM,Zenata Messali El Hadj Airport,TLM,Tlemcen,Algeria,DZ
QSF,Setif Arpt,QSF,Setif,Algeria,DZ
CZL,Ain El Bey Arpt,CZL,Constantine,Algeria,DZ
GHA,Noumerate Arpt,GHA,Ghardaia,Algeria,DZ
CFK,Chlef Arpt,CFK,Chlef,Algeria,DZ
BSK,Biskra Arpt,BSK,Biskra,Algeria,DZ
TAF,Tafaraoui Arpt,ORN,Oran,Algeria,DZ
HME,Oued Irara Arpt,HME,Hassi Messaoud,Algeria,DZ
VVZ,Takhamalt Arpt,VVZ,Illizi,Algeria,DZ
PPG,Pago Pago Arpt,PPG,Pago Pago,American Samoa,AS
ALV,Andorra La Vella Hlpt,ALV,Andorra La Vella,Andorra,AD
SDD,Mukanka Airport,SDD,Lubango,Angola,AO
LAD,Four De Fevereiro Arpt,LAD,Luanda,Angola,AO
AXA,Wallblake Municipal,AXA,Anguilla,Anguilla,AI
ANU,V C Bird Intl Arpt,ANU,Antigua,Antigua and Barbuda,AG
IGR,Iguazu Intl,IGR,Iguazu,Argentina,AR
VME,Villa Mercedes Arpt,VME,Villa Mercedes,Argentina,AR
SFN,Santa Fe Arpt,SFN,Santa Fe,Argentina,AR
RSA,Santa Rosa Arpt,RSA,Santa Rosa,Argentina,AR
SDE,Santiago Des Estero Arpt,SDE,Santiago Del Estero,Argentina,AR
TDL,Tandil Arpt,TDL,Tandil,Argentina,AR
REL,Trelew Arpt,REL,Trelew,Argentina,AR
BHI,Commandante Airport,BHI,Bahia Blanca,Argentina,AR
AEP,Jorge Newbery,BUE,Buenos Aires,Argentina,AR
EZE,Ministro Pistarini,BUE,Buenos Aires,Argentina,AR
CTC,Choya Arpt,CTC,Catamarca,Argentina,AR
CPC,Chapelco Arpt,CPC,Chapelco,Argentina,AR
CRD,Comodoro Rivadavia Arpt,CRD,Comodoro Rivadavia,Argentina,AR
COC,Concordia Arpt,COC,Concordia,Argentina,AR
COR,Pajas Blanco Arpt,COR,Cordoba,Argentina,AR
CNQ,Camba Punta Arpt,CNQ,Corrientes,Argentina,AR
EHL,El Bolson Arpt,EHL,El Bolson,Argentina,AR
FTE,El Calafate Arpt,FTE,El Calafate,Argentina,AR
EQS,Esquel Airport,EQS,Esquel,Argentina,AR
VDM,Viedma Arpt,VDM,Viedma,Argentina,AR
VLG,Villa Gesell Arpt,VLG,Villa Gesell,Argentina,AR
FMA,El Pucu Arpt,FMA,Formosa,Argentina,AR
RGA,Rio Grande Arpt,RGA,Rio Grande,Argentina,AR
ROS,Fisherton Airport,ROS,Rosario,Argentina,AR
SLA,General Belgrano Intl Arpt,SLA,Salta,Argentina,AR
BRC,San Carlos De Bariloche Intl Arpt,BRC,San Carlos Bariloche,Argentina,AR
UAQ,San Juan Arpt,UAQ,San Juan,Argentina,AR
LUQ,San Luis Cty Arpt,LUQ,San Luis,Argentina,AR
AFA,San Rafael Arpt,AFA,San Rafael,Argentina,AR
RGL,Rio Gallegos Internacional Arpt,RGL,Rio Gallegos,Argentina,AR
RCU,Rio Cuarto Arpt,RCU,Rio Cuarto,Argentina,AR
RES,Resistencia Arpt,RES,Resistencia,Argentina,AR
PMY,El Tehuelche Arpt,PMY,Puerto Madryn,Argentina,AR
PSS,Posadas Arpt,PSS,Posadas,Argentina,AR
AOL,Paso De Los Libres Arpt,AOL,Paso De Los Libres,Argentina,AR
PRA,Parana Arpt,PRA,Parana,Argentina,AR
NQN,Neuquen Airport,NQN,Neuquen,Argentina,AR
MJR,Miramar Arpt,MJR,Miramar,Argentina,AR
MDZ,El Plumerillo Airport,MDZ,Mendoza,Argentina,AR
MDQ,Mar Del Plata Arpt,MDQ,Mar Del Plata,Argentina,AR
IRJ,La Rioja Arpt,IRJ,La Rioja,Argentina,AR
LPG,La Plata Arpt,LPG,La Plata,Argentina,AR
OYO,Tres Arroyos Arpt,OYO,Tres Arroyos,Argentina,AR
JUJ,El Cadillal Airport,JUJ,Jujuy,Argentina,AR
TUC,Benjamin Matienzo Airport,TUC,Tucuman,Argentina,AR
USH,Islas Malvinas Arpt,USH,Ushuaia,Argentina,AR
EVN,Yerevan Arpt,EVN,Yerevan,Armenia,AM
AUA,Reina Beatrix Arpt,AUA,Aruba,Aruba,AW
DMD,Doomadgee Arpt,DMD,Doomadgee,Australia,AU
DBO,Dubbo Arpt,DBO,Dubbo,Australia,AU
DKI,Dunk Island Arpt,DKI,Dunk Island,Australia,AU
ECH,Echuca Arpt,ECH,Echuca,Australia,AU
EDR,Edward River Arpt,EDR,Edward River,Australia,AU
EMD,Emerald Arpt,EMD,Emerald,Australia,AU
EPR,Esperance Arpt,EPR,Esperance,Australia,AU
EXM,Exmouth Gulf,EXM,Exmouth Gulf,Australia,AU
FLC,Falls Creek Arpt,FLC,Falls Creek,Australia,AU
FOT,Forster,FOT,Forster,Australia,AU
JFM,Fremantle Heliport,JFM,Fremantle,Australia,AU
GEX,Geelong Arpt,GEX,Geelong,Australia,AU
GET,Geraldton Arpt,GET,Geraldton,Australia,AU
GLT,Gladstone Airport,GLT,Gladstone,Australia,AU
GLI,Glen Innes Arpt,GLI,Glen Innes,Australia,AU
GOO,Goondiwindi Arpt,GOO,Goondiwindi,Australia,AU
GOS,Gosford Airport,GOS,Gosford,Australia,AU
GOV,Nhulunbuy Arpt,GOV,Gove,Australia,AU
GFN,Grafton Arpt,GFN,Grafton,Australia,AU
GFF,Griffith Arpt,GFF,Griffith,Australia,AU
GTE,Alyangula Arpt,GTE,Groote Eylandt,Australia,AU
